Organization Name,Categories
anthranilate,Insurance
theorin,Automotive
hijackers,Real estate
interconnectivity,Software
samme,Tobacco
based,Film
spinsterish,Music
insecty,News media
occult,Health care
serio-comical,Steel
servo-motor,Software
photobooks,Electronics
transcription,Public utilities
grottos,Publishing
kitskonstabels,Timber
trailing,Tobacco
laminates,Education
plaguey,Aerospace
superheroines,Telecommunications
linkify,Transportation
profuse,Film
chimerism,Energy
timelord,Hospitality
commoditizes,Electronics
serially,Insurance
urtication,Automotive
brasswind,Food
readdress,Entertainment 
seafarers,Education
lovegrass,Construction
flux,News media
slowdowns,Water
friction,Agriculture
mipmap,Insurance
kingmakers,Publishing
lawn-chair,Information
cliffhang,Hospitality
worksheet,Entertainment 
pyrotechnical,Defense
molecules,Electricity
solitaries,Film
mouseover,Music
preservative,Construction
torbie,Pharmaceutical
thible,Timber
phizog,Fishing
gowpen,Electricity
fouter,Software
Bible,Steel
drey,Construction
cagoule,Education
scenographic,Fruit
promptuary,Education
grumous,Tobacco
stuggy,Tobacco
feculent,Broadcasting
bort,Film
noema,Music
merism,Transportation
battology,Health care
debitage,Defense
technetronic,Real estate
licorice,News media
backpack,Tobacco industry
paddlebox,Mining
transportable,Fruit
scenographic,Entertainment 
joyrider,Tobacco
forties,Fishing
magnus,Construction
airo,Education
airol,Chemical
harte,Financial services
silkan,Fruit
thora,Automotive
skyrad,Petroleum
verus,Real estate
airal,Tobacco
thory,Aerospace
skyrta,Water
harto,Telecommunications
cloudary,Real estate
purecloud,Automotive
cloudlayer,Financial services
echocloud,Chemical
cloudloop,Fishing
activecloud,Entertainment 
cloudable,Blockchain
clouder,Internet of Things
appmaker,Chemical
safe-deposit,Financial services
stenotype,Consulting
knead,Cloud computing
dimestore,Financial services
harpischords,Agriculture
chatlines,Automotive
mantel,Chemical
stirfry,Agriculture
daytrader,Internet of Things
Excel,Apparel
Bauble,Toys
Spot,Tech
Pair,Tech
Croco,Food
Feather,Entertainment
R-chive,Tech
Shaft,Boating
Tiger Mom,Tutoring/Academic
Black Rhino,Glasses
Pot O Gold,Food
Slip Ink,Office Supplies
Cellblock,Pharmaceutical
Big Fishing,"Fishing,Outdoor Recreation"
Data Crunch,"Big Data,Data Processing"
Orzo,Finance
Hedolo,Tech
Ice Coast,Beverage
Phamous,Entertainment
Pocket Lock,Security
Wonka,Candy
Hammer Head,Construction
Star Cash,Finance
Grey Steam,Transportation
Honeydew,Tech
Great!,Apparel
Logic,Finance
Fork and Knife,Food
Temper,Apparel
Steve,"hardware, computers, technology"
Phones,"communications, social media, mobile devices"
Cars,"transportation, travel"
eBook,"apps, software, reading"
Glasses,"healthcare, optometry"
Bank,"finance, economics"
Accounting,"finance, taxes"
Bandage,"Healthcare, Pharmaceuticals"
Insurance,"finance, insurance, risk "
Bread,"food manufacture, groceries"
Guns,"firearms, defense"
Farming,"agriculture, food production, agribusiness"
College,"education, schools"
Ads,"advertising, marketing, sales"
Mortgage,"home ownership, property"
Bicycles,"transportation, vehicle"
Math,"curriculum, education, schools"
Hospital,"healthcare, medicine"
Software,"computers, technology, software"
Coffee,"beverages, cafes, food service"
RoundCloud,software
AlleyUp,software
Spoken,software
Strayze,restaurant
Embarker,software
Wool Sign,clothing
Puff Club,cigars
Tasket,software
Blue Rose Retail,merchandising
Vine Rise,Agricultural Products
Cherry Tom's Produce,Agricultural Products
Naked Grains,carpentry
Bubblephonics,design
Wooden Peacock Designs,Graphic Design
Thread Tension,Hobby Store
Mix Tread,manufacturing
Broken Spindle,record label
Heel Click,dance studio
Glass Smash,rentals
Burst,vitamins